,price,neighborhood,parking,balconies,buildingMR,TotalFloors,asset_classification,rooms,floor,shelter,on_pillars,elevator,storeroom,lat,long,home_number,buildyear,Distance_From_Sea,year
138,5500000,17,0,2,88,5.0,3,4,3,0,0,1,0,178642.0,664870.0,53.0,1992,888,2023
139,2990000,22,0,1,67,4.0,6,4,2,0,0,0,0,179602.0,662586.0,23.0,1949,2805,2023
140,1950000,14,0,0,24,4.0,2,1,2,0,0,0,0,178303.0,664442.0,38.0,1930,682,2023
141,1000000,9,0,2,60,3.0,5,3,2,0,0,0,0,178206.0,663247.0,6.0,1976,1032,2023
142,6200000,1,2,1,146,4.0,6,5,3,1,0,1,1,183567.0,668600.0,13.0,2020,4826,2023
143,5090000,46,1,1,118,5.0,1,4,1,1,0,1,1,184095.0,669496.0,19.0,2001,5060,2023
144,7000000,10,1,0,115,14.0,3,5,7,0,1,1,0,180767.0,666471.0,76.0,2008,2590,2023
145,3900000,22,0,2,83,3.0,3,4,1,0,0,0,0,178818.0,663028.0,4.0,1983,1782,2023
146,2600000,35,0,1,92,7.0,2,4,6,0,1,1,0,182236.0,661684.0,2.0,1992,6016,2023
147,2790000,7,0,1,87,7.0,5,4,3,1,0,1,0,178858.0,660968.0,16.0,1999,2612,2023
148,4600000,7,0,1,200,2.0,2,6,2,1,0,0,0,179024.0,661006.0,10.0,1955,2779,2023
149,2350000,35,0,0,65,7.0,2,3,7,0,1,1,0,182231.0,661611.0,2.0,2015,6039,2023
150,3600000,43,1,1,96,27.0,6,3,10,1,0,1,1,185221.0,669552.0,2.0,2017,6266,2023
151,5700000,10,1,1,83,7.0,1,3,2,1,0,1,0,180124.0,665928.0,22.0,2022,2096,2023
152,5300000,17,0,0,85,4.0,3,4,3,0,0,0,0,178316.0,665115.0,51.0,1987,439,2023
153,3550000,34,1,1,98,30.0,1,3,20,1,1,1,0,180092.0,663050.0,1.0,1950,3161,2023
154,2890000,11,0,0,41,4.0,3,2,4,0,0,0,0,179330.0,665789.0,25.0,1951,1285,2023
155,2400000,15,0,1,75,4.0,3,3,1,0,0,0,0,177236.0,660261.0,15.0,1960,1118,2023
156,7250000,19,1,0,92,4.0,5,3,3,0,1,1,0,179129.0,664375.0,1.0,1944,1607,2023
157,18500000,29,2,2,236,2.0,6,4,2,0,0,1,1,177847.0,662732.0,5.0,2009,839,2023
158,3500000,30,0,1,135,2.0,2,3,0,1,0,0,0,177254.0,661749.0,8.0,1960,569,2023
159,1500000,17,0,0,43,4.0,5,2,-1,0,0,0,0,179275.0,665035.0,5.0,1960,1513,2023
160,2290000,15,0,0,52,4.0,3,3,3,0,1,0,0,176878.0,660115.0,14.0,2000,784,2023
161,5480000,11,0,0,80,5.0,2,3,1,1,1,1,0,179236.0,666793.0,97.0,2025,800,2023
162,6250000,33,2,1,120,20.0,6,4,9,1,0,0,1,180931.0,666217.0,5.0,2015,2865,2023
163,3100000,6,0,0,85,4.0,2,4,1,0,1,0,0,181237.0,661727.0,24.0,2014,4912,2023
164,2780000,31,0,2,48,7.0,2,2,5,1,1,1,0,178485.0,662535.0,108.0,2000,1608,2023
165,3420000,22,1,1,62,6.0,1,2,5,1,0,1,0,178982.0,662713.0,55.0,2021,2081,2023
166,6590000,46,1,1,147,3.0,2,4,0,1,0,1,1,183874.0,669504.0,5.0,2002,4816,2023
167,2550000,25,0,0,65,4.0,2,3,3,0,1,0,1,178073.0,660850.0,14.0,1970,1803,2023
168,3380000,7,1,1,96,7.0,2,4,4,1,0,1,0,179151.0,660790.0,26.0,2018,2999,2023
169,8275000,42,2,1,130,33.0,2,4,17,1,0,1,1,179974.0,664301.0,3.0,2012,2554,2023
170,2590000,32,0,0,78,4.0,3,3,3,0,1,0,0,181950.0,661504.0,6.0,1975,5773,2023
171,3500000,34,2,1,115,7.0,1,3,7,1,0,1,0,180861.0,662427.0,15.0,2004,4236,2023
172,8000000,18,1,1,120,15.0,3,5,10,0,0,1,0,181101.0,670458.0,25.0,1987,1432,2023
173,3700000,47,0,1,96,6.0,1,4,5,1,0,1,1,181691.0,663400.0,22.0,2020,4768,2023
174,1790000,17,0,0,28,4.0,2,1,0,0,0,0,0,178561.0,665272.0,30.0,1972,645,2023
175,2560000,35,0,0,96,7.0,3,4,7,0,1,1,0,182485.0,661555.0,30.0,1970,6336,2023
176,3680000,31,1,1,61,11.0,6,2,2,1,0,1,1,178069.0,662788.0,9.0,2018,1059,2023
177,1530000,36,0,0,65,4.0,3,3,2,0,0,0,0,177510.0,660687.0,9.0,1965,1253,2023
178,5300000,12,2,1,116,9.0,3,4,2,1,1,1,1,180512.0,669794.0,114.0,2005,1044,2023
179,2800000,15,0,0,85,4.0,2,3,2,0,1,0,0,176843.0,660124.0,10.0,1970,742,2023
180,1200000,36,0,1,91,4.0,5,1,4,0,0,0,0,177336.0,661480.0,109.0,1994,761,2023
181,3500000,7,0,0,170,2.0,3,4,1,0,0,0,0,179492.0,661510.0,5.0,1960,3096,2023
182,7500000,12,2,1,145,7.0,6,5,3,1,0,1,1,180044.0,669155.0,1.0,2010,778,2023
183,6500000,19,0,2,100,2.0,2,3,2,1,0,0,1,178700.0,663759.0,2.0,1979,1375,2023
184,6350000,48,0,1,170,3.0,6,6,1,1,0,0,1,176461.0,661537.0,50.0,1988,213,2023
